iter	Passed	Remaining
171	246	1188
172	247	1183
173	248	1178
174	248	1173
175	249	1168
176	250	1162
177	250	1157
178	251	1152
179	251	1147
180	252	1142
181	253	1137
182	253	1132
183	254	1127
184	254	1122
185	255	1118
186	256	1113
187	256	1108
188	257	1103
189	257	1099
190	258	1094
191	259	1090
192	259	1085
193	260	1080
194	260	1076
195	261	1072
196	262	1068
197	262	1064
198	263	1060
199	264	1056
200	264	1052
201	265	1047
202	265	1043
203	266	1039
204	267	1035
205	267	1031
206	268	1028
207	268	1024
208	269	1019
209	269	1015
210	270	1011
211	271	1007
212	271	1003
213	272	999
214	272	995
215	273	992
216	274	988
217	274	985
218	275	981
219	275	977
220	276	973
221	276	970
222	277	966
223	278	963
224	278	960
225	279	956
226	280	953
227	280	950
228	281	946
229	281	943
230	282	939
231	282	936
232	283	932
233	283	929
234	284	925
235	285	922
236	285	919
237	286	916
238	286	913
239	287	909
240	287	906
241	288	903
242	289	900
243	289	897
244	290	894
245	291	892
246	291	889
247	292	886
248	293	883
249	293	881
250	294	878
251	294	875
252	295	872
253	295	869
254	296	866
255	297	863
256	297	860
257	298	857
258	298	855
259	299	852
260	300	849
261	300	846
262	301	844
263	301	841
264	302	839
265	303	836
266	303	834
267	304	831
268	305	829
269	305	826
270	306	824
271	306	821
272	307	819
273	308	817
274	309	814
275	309	812
276	310	810
277	311	807
278	311	805
279	312	802
280	312	800
281	313	797
282	313	795
283	314	792
284	315	790
285	315	787
286	316	785
287	316	783
288	317	780
289	317	778
290	318	775
291	319	773
292	319	771
293	320	769
294	320	766
295	321	764
296	321	761
297	322	759
298	323	757
299	323	755
300	324	753
301	325	751
302	325	749
303	326	747
304	327	745
305	327	742
306	328	740
307	328	739
308	329	736
309	330	734
310	330	732
311	331	730
312	331	728
313	332	726
314	333	724
315	333	722
316	334	719
317	334	718
318	335	715
319	335	713
320	336	712
321	337	710
322	337	708
323	338	706
324	339	704
325	339	702
326	340	700
327	340	698
328	341	696
329	342	694
330	342	693
331	343	691
332	344	689
333	344	687
334	345	685
335	345	682
336	346	681
337	346	679
338	347	677
339	348	675
340	348	673
341	349	671
342	349	669
343	350	668
344	350	666
345	351	664
346	352	662
347	352	660
348	353	659
349	354	657
350	354	655
351	355	653
352	355	652
353	356	650
354	357	648
355	357	647
356	358	645
357	358	643
358	359	641
359	359	639
360	360	638
361	361	636
362	361	634
363	362	632
364	362	631
365	363	629
366	363	627
367	364	625
368	365	624
369	365	622
370	366	620
371	366	619
372	367	617
373	367	615
374	368	614
375	369	613
376	370	611
377	370	610
378	371	608
379	372	606
380	372	605
381	373	603
382	373	601
383	374	600
384	374	598
385	375	597
386	376	595
387	376	594
388	377	592
389	377	590
390	378	589
391	379	587
392	379	586
393	380	584
394	380	582
395	381	581
396	381	579
397	382	578
398	383	576
399	383	575
400	384	574
401	384	572
402	385	571
403	386	569
404	386	567
405	387	566
406	387	564
407	388	563
408	388	561
409	389	560
410	389	558
411	390	557
412	391	555
413	391	554
414	392	552
415	392	551
416	393	550
417	393	548
418	394	547
419	395	545
420	395	544
421	396	542
422	397	541
423	397	540
424	398	538
425	398	537
426	399	536
427	400	534
428	400	533
429	401	532
430	402	530
431	402	529
432	403	528
433	403	526
434	404	525
435	405	523
436	405	522
437	406	521
438	407	520
439	408	519
440	408	518
441	409	516
442	410	515
443	410	514
444	411	513
445	412	511
446	413	511
447	414	510
448	415	509
449	416	508
450	416	507
451	417	506
452	418	505
453	419	504
454	420	504
455	421	503
456	422	502
457	423	500
458	424	499
459	424	498
460	425	497
461	426	496
462	427	495
463	427	494
464	428	492
465	429	491
466	430	491
467	431	490
468	432	489
469	433	488
470	433	487
471	434	486
472	435	484
473	435	483
474	436	482
475	436	481
476	437	479
477	438	478
478	439	477
479	439	476
480	440	475
481	441	474
482	441	472
483	442	471
484	443	470
485	443	469
486	444	468
487	445	467
488	445	465
489	446	465
490	447	464
491	448	462
492	448	461
493	449	460
494	450	459
